trade_date,code,name,source,source_date
2026-08-28,300033,同花顺,akshare,2026-08-29
2026-08-28,300059,东方财富,akshare,2026-08-29
2026-08-28,300122,智飞生物,akshare,2026-08-29
2026-08-28,300124,汇川技术,akshare,2026-08-29
2026-08-28,300251,光线传媒,akshare,2026-08-29
2026-08-28,300274,阳光电源,akshare,2026-08-29
2026-08-28,300308,中际旭创,akshare,2026-08-29
2026-08-28,300316,晶盛机电,akshare,2026-08-29
2026-08-28,300394,天孚通信,akshare,2026-08-29
2026-08-28,300408,三环集团,akshare,2026-08-29
2026-08-28,300413,芒果超媒,akshare,2026-08-29
2026-08-28,300418,昆仑万维,akshare,2026-08-29
2026-08-28,300433,蓝思科技,akshare,2026-08-29
2026-08-28,300442,润泽科技,akshare,2026-08-29
2026-08-28,300450,先导智能,akshare,2026-08-29
2026-08-28,300476,胜宏科技,akshare,2026-08-29
2026-08-28,300498,温氏股份,akshare,2026-08-29
2026-08-28,300502,新易盛,akshare,2026-08-29
2026-08-28,300628,亿联网络,akshare,2026-08-29
2026-08-28,300661,圣邦股份,akshare,2026-08-29
2026-08-28,300750,宁德时代,akshare,2026-08-29
2026-08-28,300760,迈瑞医疗,akshare,2026-08-29
2026-08-28,300803,指南针,akshare,2026-08-29
2026-08-28,300832,新产业,akshare,2026-08-29
2026-08-28,300866,安克创新,akshare,2026-08-29
2026-08-28,300896,爱美客,akshare,2026-08-29
2026-08-28,300999,金龙鱼,akshare,2026-08-29
2026-08-28,301165,锐捷网络,akshare,2026-08-29
2026-08-28,301236,软通动力,akshare,2026-08-29
2026-08-28,301269,华大九天,akshare,2026-08-29
2026-08-28,301308,江波龙,akshare,2026-08-29
2026-08-28,302132,中航成飞,akshare,2026-08-29
2026-08-28,600000,浦发银行,akshare,2026-08-29
2026-08-28,600009,上海机场,akshare,2026-08-29
2026-08-28,600010,包钢股份,akshare,2026-08-29
2026-08-28,600011,华能国际,akshare,2026-08-29
2026-08-28,600015,华夏银行,akshare,2026-08-29
2026-08-28,600016,民生银行,akshare,2026-08-29
2026-08-28,600018,上港集团,akshare,2026-08-29
2026-08-28,600019,宝钢股份,akshare,2026-08-29
2026-08-28,600023,浙能电力,akshare,2026-08-29
2026-08-28,600025,华能水电,akshare,2026-08-29
2026-08-28,600026,中远海能,akshare,2026-08-29
2026-08-28,600027,华电国际,akshare,2026-08-29
2026-08-28,600028,中国石化,akshare,2026-08-29
2026-08-28,600029,南方航空,akshare,2026-08-29
2026-08-28,600030,中信证券,akshare,2026-08-29
2026-08-28,600031,三一重工,akshare,2026-08-29
2026-08-28,600036,招商银行,akshare,2026-08-29
2026-08-28,600039,四川路桥,akshare,2026-08-29
2026-08-28,600048,保利发展,akshare,2026-08-29
2026-08-28,600050,中国联通,akshare,2026-08-29
2026-08-28,600061,国投资本,akshare,2026-08-29
2026-08-28,600066,宇通客车,akshare,2026-08-29
2026-08-28,600085,同仁堂,akshare,2026-08-29
2026-08-28,600089,特变电工,akshare,2026-08-29
2026-08-28,600104,上汽集团,akshare,2026-08-29
2026-08-28,600111,北方稀土,akshare,2026-08-29
2026-08-28,600115,中国东航,akshare,2026-08-29
2026-08-28,600118,中国卫星,akshare,2026-08-29
2026-08-28,600150,中国船舶,akshare,2026-08-29
2026-08-28,600160,巨化股份,akshare,2026-08-29
2026-08-28,600176,中国巨石,akshare,2026-08-29
2026-08-28,600183,生益科技,akshare,2026-08-29
2026-08-28,600188,兖矿能源,akshare,2026-08-29
2026-08-28,600196,复星医药,akshare,2026-08-29
2026-08-28,600219,南山铝业,akshare,2026-08-29
2026-08-28,600221,海航控股,akshare,2026-08-29
2026-08-28,600233,圆通速递,akshare,2026-08-29
2026-08-28,600276,恒瑞医药,akshare,2026-08-29
2026-08-28,600309,万华化学,akshare,2026-08-29
2026-08-28,600346,恒力石化,akshare,2026-08-29
2026-08-28,600362,江西铜业,akshare,2026-08-29
2026-08-28,600372,中航机载,akshare,2026-08-29
2026-08-28,600406,国电南瑞,akshare,2026-08-29
2026-08-28,600415,小商品城,akshare,2026-08-29
2026-08-28,600426,华鲁恒升,akshare,2026-08-29
2026-08-28,600436,片仔癀,akshare,2026-08-29
2026-08-28,600438,通威股份,akshare,2026-08-29
2026-08-28,600460,士兰微,akshare,2026-08-29
2026-08-28,600482,中国动力,akshare,2026-08-29
2026-08-28,600489,中金黄金,akshare,2026-08-29
2026-08-28,600515,海南机场,akshare,2026-08-29
2026-08-28,600519,贵州茅台,akshare,2026-08-29
2026-08-28,600522,中天科技,akshare,2026-08-29
2026-08-28,600547,山东黄金,akshare,2026-08-29
2026-08-28,600549,厦门钨业,akshare,2026-08-29
2026-08-28,600570,恒生电子,akshare,2026-08-29
2026-08-28,600584,长电科技,akshare,2026-08-29
2026-08-28,600585,海螺水泥,akshare,2026-08-29
2026-08-28,600588,用友网络,akshare,2026-08-29
2026-08-28,600600,青岛啤酒,akshare,2026-08-29
